sample_id,injection.order,class,group,batch
QC_001,1,QC,QC,1
QC_002,2,QC,QC,1
QC_003,3,QC,QC,1
QC_004,4,QC,QC,1
QC_005,5,QC,QC,1
QC_006,6,QC,QC,1
MT_001,7,Subject,MT,1
MT_002,8,Subject,MT,1
MT_003,9,Subject,MT,1
MT_004,10,Subject,MT,1
MT_005,11,Subject,MT,1
MT_006,12,Subject,MT,1
MT_007,13,Subject,MT,1
MT_008,14,Subject,MT,1
MT_009,15,Subject,MT,1
MT_010,16,Subject,MT,1
MT_011,17,Subject,MT,1
MT_012,18,Subject,MT,1
QC_008,19,QC,QC,1
MT_013,20,Subject,MT,1
MT_014,21,Subject,MT,1
MT_015,22,Subject,MT,1
MT_016,23,Subject,MT,1
MT_017,24,Subject,MT,1
MT_018,25,Subject,MT,1
MT_019,26,Subject,MT,1
MT_020,27,Subject,MT,1
MT_021,28,Subject,MT,1
QC_009,29,QC,QC,1
MT_022,30,Subject,MT,1
MT_023,31,Subject,MT,1
MT_024,32,Subject,MT,1
MT_025,33,Subject,MT,1
MT_026,34,Subject,MT,1
MT_027,35,Subject,MT,1
QC_010,36,QC,QC,1
WT_001,37,Subject,WT,1
MT_028,38,Subject,MT,1
MT_029,39,Subject,MT,1
MT_030,40,Subject,MT,1
MT_031,41,Subject,MT,1
MT_032,42,Subject,MT,1
MT_033,43,Subject,MT,1
MT_034,44,Subject,MT,1
QC_011,45,QC,QC,2
WT_002,46,Subject,WT,2
MT_035,47,Subject,MT,2
MT_036,48,Subject,MT,2
MT_037,49,Subject,MT,2
MT_038,50,Subject,MT,2
MT_039,51,Subject,MT,2
MT_040,52,Subject,MT,2
MT_041,53,Subject,MT,2
MT_042,54,Subject,MT,2
MT_043,55,Subject,MT,2
MT_044,56,Subject,MT,2
MT_045,57,Subject,MT,2
QC_012,58,QC,QC,2
MT_046,59,Subject,MT,2
MT_047,60,Subject,MT,2
MT_048,61,Subject,MT,2
MT_049,62,Subject,MT,2
MT_050,63,Subject,MT,2
MT_051,64,Subject,MT,2
MT_052,65,Subject,MT,2
MT_053,66,Subject,MT,2
MT_054,67,Subject,MT,2
MT_055,68,Subject,MT,2
QC_013,69,QC,QC,2
MT_056,70,Subject,MT,2
MT_057,71,Subject,MT,2
MT_058,72,Subject,MT,2
MT_059,73,Subject,MT,2
MT_060,74,Subject,MT,2
MT_061,75,Subject,MT,2
MT_062,76,Subject,MT,2
MT_063,77,Subject,MT,2
MT_064,78,Subject,MT,2
QC_014,79,QC,QC,2
MT_065,80,Subject,MT,2
MT_066,81,Subject,MT,2
MT_067,82,Subject,MT,2
MT_068,83,Subject,MT,2
MT_069,84,Subject,MT,2
MT_070,85,Subject,MT,2
MT_071,86,Subject,MT,2
MT_072,87,Subject,MT,2
QC_015,88,QC,QC,2
MT_073,89,Subject,MT,2
MT_074,90,Subject,MT,2
MT_075,91,Subject,MT,2
MT_076,92,Subject,MT,2
MT_077,93,Subject,MT,2
MT_078,94,Subject,MT,2
MT_079,95,Subject,MT,2
MT_080,96,Subject,MT,2
MT_081,97,Subject,MT,2
MT_082,98,Subject,MT,2
QC_016,99,QC,QC,2
MT_083,100,Subject,MT,2
MT_084,101,Subject,MT,2
MT_085,102,Subject,MT,2
MT_086,103,Subject,MT,2
MT_087,104,Subject,MT,2
MT_088,105,Subject,MT,2
MT_089,106,Subject,MT,2
MT_090,107,Subject,MT,2
MT_091,108,Subject,MT,2
MT_092,109,Subject,MT,2
MT_093,110,Subject,MT,2
MT_094,111,Subject,MT,2
MT_095,112,Subject,MT,2
QC_017,113,QC,QC,2
MT_096,114,Subject,MT,2
MT_097,115,Subject,MT,2
MT_098,116,Subject,MT,2
MT_099,117,Subject,MT,2
MT_100,118,Subject,MT,2
MT_101,119,Subject,MT,2
MT_102,120,Subject,MT,2
MT_103,121,Subject,MT,2
MT_104,122,Subject,MT,2
MT_105,123,Subject,MT,2
MT_106,124,Subject,MT,2
QC_018,125,QC,QC,2
MT_107,126,Subject,MT,2
MT_108,127,Subject,MT,2
MT_109,128,Subject,MT,2
MT_110,129,Subject,MT,2
MT_111,130,Subject,MT,2
MT_112,131,Subject,MT,2
MT_113,132,Subject,MT,2
QC_019,133,QC,QC,2
MT_114,134,Subject,MT,2
MT_115,135,Subject,MT,2
MT_116,136,Subject,MT,2
MT_117,137,Subject,MT,2
MT_118,138,Subject,MT,2
MT_119,139,Subject,MT,2
MT_120,140,Subject,MT,2
MT_121,141,Subject,MT,2
QC_020,142,QC,QC,2
MT_122,143,Subject,MT,2
MT_123,144,Subject,MT,2
MT_124,145,Subject,MT,2
MT_125,146,Subject,MT,2
MT_126,147,Subject,MT,2
WT_003,148,Subject,WT,2
MT_127,149,Subject,MT,2
MT_128,150,Subject,MT,2
MT_129,151,Subject,MT,2
MT_130,152,Subject,MT,2
QC_021,153,QC,QC,2
MT_131,154,Subject,MT,2
MT_132,155,Subject,MT,2
MT_133,156,Subject,MT,2
MT_134,157,Subject,MT,2
MT_135,158,Subject,MT,2
MT_136,159,Subject,MT,2
MT_137,160,Subject,MT,2
MT_139,161,Subject,MT,2
MT_140,162,Subject,MT,2
QC_022,163,QC,QC,2
MT_141,164,Subject,MT,2
MT_142,165,Subject,MT,2
MT_138,166,Subject,MT,2
MT_143,167,Subject,MT,2
MT_144,168,Subject,MT,2
MT_145,169,Subject,MT,2
MT_146,170,Subject,MT,2
QC_023,171,QC,QC,2
MT_147,172,Subject,MT,2
MT_148,173,Subject,MT,2
MT_149,174,Subject,MT,2
MT_150,175,Subject,MT,2
MT_151,176,Subject,MT,2
MT_152,177,Subject,MT,2
MT_153,178,Subject,MT,2
QC_024,179,QC,QC,2
WT_004,180,Subject,WT,2
MT_154,181,Subject,MT,2
MT_155,182,Subject,MT,2
MT_156,183,Subject,MT,2
MT_157,184,Subject,MT,2
MT_158,185,Subject,MT,2
MT_159,186,Subject,MT,2
MT_160,187,Subject,MT,2
MT_161,188,Subject,MT,2
MT_162,189,Subject,MT,2
MT_163,190,Subject,MT,2
QC_025,191,QC,QC,2
MT_164,192,Subject,MT,2
MT_165,193,Subject,MT,2
MT_166,194,Subject,MT,2
WT_005,195,Subject,WT,2
MT_167,196,Subject,MT,2
MT_168,197,Subject,MT,2
MT_169,198,Subject,MT,2
MT_170,199,Subject,MT,2
MT_171,200,Subject,MT,2
MT_172,201,Subject,MT,2
MT_173,202,Subject,MT,2
MT_174,203,Subject,MT,2
QC_026,204,QC,QC,2
MT_175,205,Subject,MT,2
MT_176,206,Subject,MT,2
MT_177,207,Subject,MT,2
MT_178,208,Subject,MT,2
WT_006,209,Subject,WT,2
MT_179,210,Subject,MT,2
MT_180,211,Subject,MT,2
MT_181,212,Subject,MT,2
MT_182,213,Subject,MT,2
MT_183,214,Subject,MT,2
MT_184,215,Subject,MT,2
MT_185,216,Subject,MT,2
QC_027,217,QC,QC,3
MT_186,218,Subject,MT,3
MT_187,219,Subject,MT,3
MT_188,220,Subject,MT,3
MT_189,221,Subject,MT,3
MT_190,222,Subject,MT,3
MT_191,223,Subject,MT,3
QC_028,224,QC,QC,3
MT_192,225,Subject,MT,3
MT_193,226,Subject,MT,3
MT_194,227,Subject,MT,3
MT_195,228,Subject,MT,3
MT_196,229,Subject,MT,3
MT_197,230,Subject,MT,3
MT_198,231,Subject,MT,3
MT_199,232,Subject,MT,3
QC_029,233,QC,QC,3
WT_007,234,Subject,WT,3
MT_200,235,Subject,MT,3
MT_201,236,Subject,MT,3
MT_202,237,Subject,MT,3
MT_203,238,Subject,MT,3
MT_204,239,Subject,MT,3
MT_205,240,Subject,MT,3
MT_206,241,Subject,MT,3
QC_030,242,QC,QC,3